OID_,Shape_Length,Shape_Area,Minority_use,Majority_use,N,BD,PR,BH,BF,BA,BFA,RS,BO,BP,BV,std_BH,std_BF,std_BA,std_BFA,std_RS,std_BO,std_BP,std_BV,SP,SP_Classification
11,405.5633619,9997.5959,RESIDENTIAL ONLY,RESIDENTIAL ONLY,32,0.161122787,0.389595392,6.7511065,2.418003067,3895.017295,1610.840519,29.32446728,-54.39289469,18.87988616,1.418532158,1.113759589,0.369120284,17.11854816,47.42579812,3.610132231,44.51406515,5.416308661,18.554734,715.1744714,1
12,293.2152214,5417.88,RESIDENTIAL ONLY,RESIDENTIAL ONLY,18,0.19062716,0.586010851,8.607537372,3.07412049,3174.936468,1032.795075,34.9175454,37.3946948,17.51931445,1.69880513,0.973839765,0.347799916,7.404436546,27.05045753,4.664798872,0.254471631,1.1096301,10.23191873,689.2067719,1
13,283.3710117,4886.70345,RESIDENTIAL ONLY,UNCLASSIFIED,11,0.137171952,0.292529807,5.213648611,2.132577431,1429.506415,670.3186525,41.30427753,-29.12430778,16.80643108,1.116662153,3.564176362,0.892820567,4.074426761,56.17195334,1.490182463,47.07247871,0.706800306,28.618462,687.9954152,2
15,266.0651462,4383.7775,RESIDENTIAL ONLY,UNCLASSIFIED,17,0.208009644,0.208009646,0.446277238,1,911.8680049,911.8679975,40.55399074,-20.04135277,17.3416964,0.565556836,0.246731999,0,14.35356347,14.35356376,1.520149853,46.14431593,3.274759974,3.274760066,690.8180946,1
16,362.4639658,8004.75435,RESIDENTIAL ONLY,RESIDENTIAL ONLY,18,0.183049645,0.519874989,7.952214207,2.840076503,4161.471578,1465.26744,36.59772545,2.602056444,17.06481227,1.15610878,0.415782967,0.148493917,29.82131007,85.62967846,2.324255125,39.34770728,6.562195035,19.82686168,663.0353804,1
17,395.5679623,8911.1518,RESIDENTIAL ONLY,RESIDENTIAL ONLY,32,0.193421683,0.54514988,7.89166777,2.818452775,4857.913335,1723.609979,37.05711966,3.862166319,17.73887562,1.603472702,0.711533083,0.254118958,11.24138664,33.55990206,2.503543607,44.12213855,3.264118776,12.66137495,692.166638,1
18,379.7308076,7176.3868,RESIDENTIAL ONLY,RESIDENTIAL ONLY,22,0.201483487,0.564720997,7.847882785,2.802815281,4052.656309,1445.923435,40.66356484,-5.445476579,16.86147249,1.415040076,0.265460171,0.094807204,10.71584886,33.08936309,0.891475643,41.20699097,2.254945973,8.26649383,692.2142972,1
19,442.7098305,9695.07595,RESIDENTIAL ONLY,RESIDENTIAL ONLY,31,0.207171758,0.570842764,7.715142996,2.755408213,5534.363957,2008.545932,38.21975541,-31.29629332,17.1774117,1.409464956,0.337142147,0.12040791,21.82885145,62.15346403,3.027042601,43.88849035,4.324965039,13.38578731,690.9070935,1
20,478.9611666,12153.42305,RESIDENTIAL ONLY,RESIDENTIAL ONLY,12,0.170307875,0.76795157,12.62574852,4.5091959,9333.240311,2069.82365,35.26339192,-33.34541729,23.49519871,1.644275898,0.883227402,0.315438358,21.12818453,81.75256368,0.964300735,37.56916718,10.66806084,40.94408441,679.3719241,1
21,306.0328463,5734.1193,RESIDENTIAL ONLY,RESIDENTIAL ONLY,12,0.180919693,0.515887804,7.984127298,2.851474035,2958.162215,1037.415106,36.8527308,22.67897076,17.77346482,1.284771685,0.989661297,0.353450463,72.81134447,141.8865402,0.919340489,36.43057701,13.39613364,22.66691688,684.3659605,1
22,270.7913572,4414.99805,RESIDENTIAL ONLY,RESIDENTIAL ONLY,13,0.152016795,0.430573751,7.930745457,2.832409092,1900.98227,671.1538525,40.8894727,-11.28463814,17.35276065,1.628207344,0.404383026,0.144422509,9.241762402,31.45426557,1.958281714,43.449745,2.519559948,10.48571545,679.3685813,1
23,431.6464855,11340.48575,RESIDENTIAL ONLY,RESIDENTIAL ONLY,18,0.191245691,0.728993877,10.673092,3.811818572,8267.144675,2168.819035,33.82442451,-21.74348817,18.87825841,1.405305308,1.85868312,0.6638154,39.98874926,202.4932943,3.197082819,44.06347658,10.2583181,62.48402907,704.7677514,1
24,439.4209134,9773.73905,RESIDENTIAL ONLY,RESIDENTIAL ONLY,57,0.2248185,0.514904432,6.396103954,2.290311655,5032.541554,2197.317353,33.38778511,19.38003671,18.02744679,1.392261805,1.565284889,0.542884963,19.33441574,57.3539374,3.608302893,40.0053358,6.721180742,25.91114101,715.5393842,1
26,351.1898848,6740.26915,RESIDENTIAL ONLY,RESIDENTIAL ONLY,19,0.197551564,0.541909319,7.68075976,2.743128486,3652.614665,1331.550714,40.35309899,-16.55573831,16.80921925,1.332108682,0.421856342,0.150662979,14.68689012,48.06155043,0.869045969,45.01190104,2.942042263,11.62930836,697.3037628,1
27,371.8244724,6989.73665,RESIDENTIAL ONLY,RESIDENTIAL ONLY,17,0.208510151,0.571260982,7.671236846,2.739727445,3992.96382,1457.431042,37.29884838,17.87689074,18.40711785,1.259531255,0.481320379,0.171900135,17.82572378,49.11253333,1.385715569,42.99697028,5.363784049,14.48398829,674.5254204,1
30,399.9188726,9588.0939,UNCLASSIFIED,RESIDENTIAL ONLY,13,0.113733014,0.385428331,8.768826543,3.388887015,3695.523031,1090.482816,35.54174708,1.812467324,18.07643719,1.275657028,6.893903919,2.141998047,63.87932374,442.1318511,1.175581428,69.20359776,13.83563526,135.0790908,697.1883775,1
